State Name,District Name,Block Name,Panchayat Name,Village Name,Habitation Name,Quality Parameter,Year
HIMACHAL PRADESH,KANGRA,NAGROTA BAGWAN,MASSAL,Masal,HARIZAN BASTI,Arsenic,1/4/2009
RAJASTHAN,BHARATPUR,NAGAR,JAISHREE,EDWARD MANPUR,EDWARD MANPUR,Salinity,1/4/2009
BIHAR,BANKA,BANKA,CHHATRA PAL,CHHATRA PAL,GORBA MARAN,Fluoride,1/4/2009
CHHATTISGARH,BASTAR,DARBHA,KOYENAR,KOYNAR,AWASPARA,Iron,1/4/2012
RAJASTHAN,JODHPUR,OSIAN,UMAID NAGAR,UMMEDNAGAR,MEGHWAL BASTI GLR,Fluoride,1/4/2010
UTTAR PRADESH,DEORIA,DEORIA,PADARI,PADARI,PADARI MALL,Fluoride,1/4/2010
ASSAM,NAGAON,BINNAKANDI,BORHAWAR,DEBASTHAN,DEBOSTHAN  PUB PAR,Iron,1/4/2009
ORISSA,MAYURBHANJ,BETNOTI,AGIRIA,AGRIA,RAKHINI SAHI,Iron,1/4/2010
RAJASTHAN,JALOR,BHINMAL,BALI,BALI,JAWAHARJI KD,Fluoride,1/4/2011
WEST BENGAL,PURULIA,RAGHUNATH PUR-I,BERO,PASCHIM BERO,JAGANNATHDIH,Fluoride,1/4/2011
ASSAM,NAGAON,JURIA,MEHERIPAR,KALIADIGA,EAST AND SOUTH PARA,Iron,1/4/2010
TRIPURA,GOMATI,KILLA,PURBA KHUPILONG,GOSAI MATH,THANDACHERRA,Iron,1/4/2012
ASSAM,DARRANG,SIPAJHAR,DIPILA,DAGIAPARA,ABHIPARA,Iron,1/4/2012
MAHARASHTRA,JALGAON,DHARANGAON,CHAVALKHEDE,CHAVALKHEDE,CHAVALKHEDE,Nitrate,1/4/2010
WEST BENGAL,JALPAIGURI,MAYNAGURI,DOMOHANI-II,BANGLAJHAR,BANGLA JHAR,Iron,1/4/2010
RAJASTHAN,BHARATPUR,NAGAR,KAITHWARA,KAITHWARA,KHERA KA BAS,Salinity,1/4/2012
TRIPURA,WEST TRIPURA,MUNGIAKAMI,NONACHERRA,PRAJABAHADUR PARA,HANUMAN PARA,Iron,1/4/2011
GUJARAT,ANAND  ,BORSAD,KALU,KALU,VAGHELA-VISTAR,Fluoride,1/4/2010
RAJASTHAN,JODHPUR,BAP,NANEU,NANEU,TEJA KIDHANI,Salinity,1/4/2010
BIHAR,BUXAR,SIMRI,PANARI,PAKARI,PAKARI,Arsenic,1/4/2011
ORISSA,ANUGUL,ATHAMALLIK,BASUDEVPUR,BARENI,BARENI CHHAKA,Iron,1/4/2010
UTTAR PRADESH,PRATAPGARH,SINGHIPUR,MUSTAFABAD,MUSTAFABAD,HOUSAINI PURWA,Fluoride,1/4/2010
ORISSA,Nayagarh,Nuagaon,NUAGAON,BHALIAPADAR,TALASAHI,Fluoride,1/4/2010
BIHAR,BHAGALPUR,JAGDISHPUR,KHIRIBANDH,MAHESHPUR,D.V.C. COLONY,Fluoride,1/4/2010
RAJASTHAN,BARMER,SINDHARY,SHIV KAR,DEWNIYON KI DHANI,DEVANIYON KI DHANI,Salinity,1/4/2012
WEST BENGAL,MURSHIDABAD,DOMKAL,JITPUR,JITPUR,HARIDOBA,Arsenic,1/4/2010
RAJASTHAN,JODHPUR,BILARA,PICHIYAK,PICHIYAK,HEER SAGAR SCHOOL,Fluoride,1/4/2009
ORISSA,MAYURBHANJ,SARASKANA,DHANGIDISOLE,BADSOL,KASIA BEDA,Iron,1/4/2010
BIHAR,SAHARSA,SAUR BAZAR,RAUTA KHEN,RAUTA KHEM,RAUTA KHEM,Iron,1/4/2012
WEST BENGAL,BANKURA,KOTULPUR,DESHRAKOALPARA,TAJPUR,NIM-TALA,Iron,1/4/2012
CHATTISGARH,DHAMTARI,NAGARI,BIRAN SILLI,TOTAJHARIYA,PURANIBASTI,Iron,1/4/2011
ASSAM,LAKHIMPUR,GHILAMORA,BORKHAMUKH,GARAKHIYA CHUKSUKATI,GARAKHIYA CHUK SUKATI NC,Iron,1/4/2010
RAJASTHAN,BARMER,BAITU,SHAHAR,DEEPONIYO KI DHANI,KUMHARO KD,Salinity,1/4/2009
ASSAM,KAMRUP,BIHDIA-JAJIKONA,LOCH,LOCH,PAMOI SUBA,Iron,1/4/2009
ASSAM,DIBRUGARH,KHOWANG,SEPON,NO.1 KASOMARI GAON,NO.1 KASOMARI GAON CHUCK,Iron,1/4/2009
RAJASTHAN,BARMER,BAITU,GIRA,MALDETA,BHABUO KI DHANI,Salinity,1/4/2011
ASSAM,BAKSHA,GORESWAR,TENGAJHAR,BARIGAON,RABHA SUBA,Iron,1/4/2010
RAJASTHAN,BARMER,BAITU,KOLU,LEELA SAR,BENIWAL,Salinity,1/4/2012
ORISSA,BARGARH,ATTABIRA,LARASARA,LARASARA,NUAKHAIR PALI,Iron,1/4/2010
CHATTISGARH,NARAYANPUR,NARAYANPUR,ADKA,ADKA,NAYAPARA,Iron,1/4/2011
RAJASTHAN,BARMER,CHOHTAN,BAKHASAR,RARWA,GENA KOLI KI DHANI,Salinity,1/4/2009
RAJASTHAN,BARMER,CHOHTAN,RAMJAN KI GAFAN,ARBI KI GAPHAN,MAUNANI MEGHWAL KI DAHNI,Salinity,1/4/2010
CHHATTISGARH,SUKMA,CHHINDGARH,ATAKARIRAS,ATKARIRAS,PUJARIPARA,Iron,1/4/2012
CHHATTISGARH,KORBA,KORBA,BHAISMA,BHAISMA,MANDITPARA,Iron,1/4/2012
RAJASTHAN,RAJSAMAND,BHIM,SHEKHAWAS,SWAJNA CHAINPURA,SWAJNA CHAINPURA,Fluoride,1/4/2012
ASSAM,KAMRUP,RANI,RANI,PAT GAON,BALAPARA,Iron,1/4/2011
TRIPURA,DHALAI  ,DUMBURNAGAR,RAIMA,RANJIT PARA,GIRIDHARI PARA,Iron,1/4/2011
RAJASTHAN,NAGAUR,NAGAUR,BHOMASAR,SINDHIPURA,HINGNIYA NADA,Fluoride,1/4/2012
RAJASTHAN,JODHPUR,BAP,KANASAR,KANASAR,BHATO KI DHANI,Salinity,1/4/2010
WEST BENGAL,BANKURA,HIRBANDH,BAHARAMURI,NISCHINTAPUR,NISCHINTIPUR,Iron,1/4/2012
ASSAM,DIBRUGARH,KHOWANG,LENGRAI,NO.1 THENGAL GAON,UJANI CHUCK,Iron,1/4/2009
RAJASTHAN,AJMER,SHRINAGAR,GHOOGHRA,GHOOGHRA,NEW INDRA COLONY,Fluoride,1/4/2009
KARNATAKA,KOLAR,MULBAGAL,AVANI,V. GUTTAHALLI,VIRUPAKSHI,Nitrate,1/4/2012
ORISSA,CUTTACK,NIALI,NUAGAN,NUAGAON,KANKADAHUDA,Iron,1/4/2010
RAJASTHAN,BARMER,CHOHTAN,ANTIYA,ANTIYA,ANTIYA,Salinity,1/4/2012
BIHAR,MADHEPURA,CHAUSA,ARAJIPUR WEST,BHATGAMA,KHALIFA TOLA,Iron,1/4/2009
BIHAR,SUPAUL,BASANTPUR,BHAGWANPUR,RANIGANJ,RANIGANJ,Iron,1/4/2010
ASSAM,DHUBRI,MAHAMAYA,BAGRIBARI,KHANABARIANIANI PT.II,SAHAPARA,Iron,1/4/2009
RAJASTHAN,JODHPUR,OSIAN,BIRAI,BIRAI,RAMBERIYO KD,Salinity,1/4/2009
WEST BENGAL,NADIA,RANAGHAT - II,DEBAGRAM,Gopinagar Baghadanga,RAIL PARA (BAIDYAPUR-I),Arsenic,1/4/2009
RAJASTHAN,JALOR,RANIWARA,GANG,HEERPURA,HEERPURA,Fluoride,1/4/2010
RAJASTHAN,JODHPUR,OSIAN,DANWARA,DANWARA,SOU GODARO KD,Fluoride,1/4/2011
UTTAR PRADESH,BAHRAICH,MIHINPURWA,SUJAULI,SUJAULI,SUJAULI,Iron,1/4/2009
ASSAM,TINSUKIA,SAIKHOWA,SAIKHOWA,KHUTI PATHER GAON,KHOTIPATHAR GAON,Iron,1/4/2009
BIHAR,SUPAUL,BASANTPUR,RATANPUR,RATANPUR,CHAMAR TOLA,Iron,1/4/2010
RAJASTHAN,NAGAUR,NAGAUR,SEWARI,SEWRI,UTRADI JATO KI DHANI,Fluoride,1/4/2012
BIHAR,SUPAUL,RAGHOPUR,JAGDISHPUR,BASAWANPATTI,BASAWAN PATTI,Iron,1/4/2010
CHATTISGARH,DANTEWADA,SUKMA,SUKMA,SUKMA,DEEWAN PARA,Iron,1/4/2010
RAJASTHAN,JAIPUR,CHAKSU,BARA PADAM PURA,CHAKSHIVDASPURA NO1,CHECK SHIVDAS PURA NO.1,Fluoride,1/4/2011
RAJASTHAN,JODHPUR,BALESAR,BELWA,BELWA,MUKNAWATON KD,Salinity,1/4/2010
BIHAR,ARARIA,NARPATGANJ,MADHURA (W),DAHRAHRA,DHARHARA,Iron,1/4/2009
BIHAR,PURNIA,DHAMDAHA,DAMAILI,DAMAILI,ADIBASI TOLA,Iron,1/4/2012
MAHARASHTRA,NANDED,DHARMABAD,YEOTI,YEOTI,YEOTI,Fluoride,1/4/2009
RAJASTHAN,JODHPUR,SHERGARH,BHOONGRA,PREMSAGAR,BHELA NAGAR,Salinity,1/4/2010
ORISSA,KHORDHA,BANPUR,NILADRIPRASAD,JARIGADA,JARIPADA NUA SAHI,Iron,1/4/2010
ASSAM,NAGAON,RAHA,AMSOI,SIRMALA BILL,GORACHUCK,Iron,1/4/2010
CHHATTISGARH,RAIGARH,DHARAMJAIGARH,KATAIPALI ( C ),KATAIPALI C,MAJHAPARA,Iron,1/4/2012
ORISSA,RAYAGADA,RAYAGADA,KOTHAPETA,SINGNAPUR,SINGNAPUR,Iron,1/4/2010
RAJASTHAN,BARMER,BAITU,KASHUMBLA BHATIYAN,KESUMBLA CHARNAN,KASOOMBLA CHARNAN,Salinity,1/4/2011
BIHAR,SUPAUL,PRATAPGANJ,SURAJ PUR,PARSABIRBAL,SARDAR TOLA,Iron,1/4/2009
WEST BENGAL,NADIA,HARINGHATA,BEROHI-II,BAHIR SONAKHALI,BAHIR SONAKHALI,Arsenic,1/4/2012
ORISSA,Nayagarh,Nuagaon,SINGARAPALLI,JODA SAHI,JODA SAHI,Iron,1/4/2009
MADHYA PRADESH,DHAR,UMARBAN,UTAWAD,UTAWAD,BHABAR PURA,Fluoride,1/4/2010
PUNJAB,MOGA,BAGHAPURANA,SMADH BHAI,SMADH BHAI,KOTHE KARTAR SINGH,Iron,1/4/2009
BIHAR,PURNIA,BHAWANIPUR,LAXAMIPUR GIRADHAR,PIPARA,RAMBABU BASA,Iron,1/4/2010
RAJASTHAN,NAGAUR,MAKRANA,BHINCHAWA,BHICHAWA,BALUJI KI DHANI,Fluoride,1/4/2011
MAHARASHTRA,LATUR,LATUR,BHATANGALI,BHATANGALI,BHATANGALI,Nitrate,1/4/2011
UTTARAKHAND,HARDWAR,BHAGWANPUR,KHAJOORI,KHAJOORI,KHAJOORI,Iron,1/4/2011
CHHATTISGARH,JASHPUR,MANORA,DUMARTOLI,BHABHARI,DAMGUTARI,Iron,1/4/2012
WEST BENGAL,PURULIYA,BARABAZAR,SINDRI,AJODHYA,AJODHYADIH,Iron,1/4/2009
BIHAR,BEGUSARAI,MATIHANI,SONAPUR,BAGDOBH,MAHTO TOLA,Iron,1/4/2009
RAJASTHAN,CHITTAURGARH,PRATAPGARH,DABRA,GARDORA,GARDORA,Fluoride,1/4/2009
ORISSA,MALKANGIRI,Podia,PODIA,PODIA,SINGENI GUDA,Iron,1/4/2010
ORISSA,Kendrapara,Mahakalapada,JADUPUR,MASAKANI,EAST MASAKANI,Iron,1/4/2012
ORISSA,KANDHAMAL,CHAKAPADA,SANKARAKHOL,SANKARAKHOLE,BATERI SAHI,Iron,1/4/2009
RAJASTHAN,BARMER,BARMER,JASAI,PARO,PARA KIBSATI,Salinity,1/4/2011
ASSAM,BARPETA,BARPETA,NAGAON,BATIKURIHA,MADHYA PARA,Iron,1/4/2010
BIHAR,BANKA,SHAMBHUGANJ,GULNI,DEALDIH,DAYAL DIH,Iron,1/4/2011
BIHAR,MADHEPURA,SHANKARPUR,RAIBHAR,BASANTPUR,RAM TOLA,Iron,1/4/2010
ASSAM,DARRANG,PACHIM-MANGALDAI,CHAMUAPARA,ADHIKARI,KAITH PARA,Iron,1/4/2012
UTTAR PRADESH,ETAWAH,JASWANTNAGAR,DHOLPURA,DHOLPURA,DHOLPURA,Iron,1/4/2009
ASSAM,SONITPUR,NADUAR,MADHYA-CHILLABANDHA,GERELUA CHUK,GERELUA CHUK,Iron,1/4/2009
WEST BENGAL,PURBA MEDINIPUR,POTASHPUR - I,AMARSHI-II,BAR SHANKAR,NAMASUDRAPUR,Iron,1/4/2009
ORISSA,PURI,KAKATPUR,KURUJANGA,TANASUAN,HARIJANA SAHI,Iron,1/4/2011
BIHAR,SUPAUL,CHHATAPUR,MADHUBI,DODRA,HARIZON TOLA,Iron,1/4/2011
RAJASTHAN,BARMER,CHOHTAN,PANORIYA,PANORIYA,KHUWALA BASTI,Salinity,1/4/2010
RAJASTHAN,BHARATPUR,KUMHER,LAKHAN,LAKHAN,GARHI,Salinity,1/4/2010
ASSAM,GOLAGHAT,GOLAGHAT WEST,PACHIM KAZIRONGA,NO.1 KOHORA,NO-1 KOHORA,Iron,1/4/2009
BIHAR,SAHARSA,SALKHUA,HAREWA,HAREWA,KHOJRAHA,Iron,1/4/2009
ORISSA,RAYAGADA,KASHIPUR,PODAPADI,PUHUNDI,KANSARIGUDA,Iron,1/4/2009
ORISSA,NABARANGAPUR,TENTULIKHUNTI,TENTULIKHUNTI,MADAGULUMI,MUDUGULAMI,Iron,1/4/2011
ASSAM,NAGAON,MAIRABARI PT.,LALIPATHAR,SALKATI PATHAR,DAKHIN SALKATI PATHAR,Iron,1/4/2010
BIHAR,KATIHAR,KADWA,BHONAGAR,KHOTAPARA,KHOTA PARA,Iron,1/4/2009
RAJASTHAN,JODHPUR,MANDOR,BISALPUR,BHATON KI DHANI,BHATO KD,Salinity,1/4/2012
WEST BENGAL,DAKSHIN DINAJPUR,KUMARGANJ,BATUN,RAGHUNATHPUR,UTTAR PARA,Iron,1/4/2012
MADHYA PRADESH,RAJGARH,BIAORA,KHEJADA MAHARAJA,KHEJDA MAHARAJA,KHEJADA MAHARAJA,Fluoride,1/4/2010
TAMIL NADU,KRISHNAGIRI,KRISHNAGIRI,NARALAPALLI,NARALAPALLI,CHINNESEKKANAVOOR,Iron,1/4/2010
CHHATTISGARH,KONDAGAON,MAKDI,ULERA,KOSAHARDUL,PATELPARA I,Iron,1/4/2012
ORISSA,KHORDHA,BALIPATNA,GARADIAPANCHAN,BISWANATHPUR,FAKIR PADA,Iron,1/4/2012
RAJASTHAN,BARMER,BARMER,BOLA,BIBARA,BEEBARA,Salinity,1/4/2012
ORISSA,PURI,KAKATPUR,KUNDHEI,CHHOTARAPUR,CHHOTAROYPUR,Iron,1/4/2010
ASSAM,DARRANG,BECHIMARI,BARUAJHAR NO 5,SARICHABARI,RESERVE  BASTI,Iron,1/4/2012
KARNATAKA,MANDYA,MANDYA,ALAKERE,DANAYAKANA PURA,DANAYAKANA PURA,Iron,1/4/2009
ORISSA,RAYAGADA,GUDARI,PENDILI,PENDILI,PENDILI,Iron,1/4/2009
TRIPURA,KHOWAI,PADMABIL,DAKSHIN RAM CHANDRA GHAT,NAKSHATRA BARI,NUTAN TUIHACHING BARI,Iron,1/4/2012
RAJASTHAN,CHITTAURGARH,DUNGLA,LOTHIYANA,SAMELIYA,MAJRA BHEEL BASTI,Fluoride,1/4/2011
RAJASTHAN,BARMER,BARMER,INDROHI,INDROI,ARJUN SINGH KI DHANI,Salinity,1/4/2012
RAJASTHAN,NAGAUR,RIYAN,CHAWADIYA  KALAN,MANDAWARA,MANDAWARA,Fluoride,1/4/2010
ASSAM,SIBSAGAR,SONARI,UDOYPUR,HELAIGURI F.V.,HELAIGURI,Iron,1/4/2010
RAJASTHAN,NAGAUR,RIYAN,JHINTIYA,JHINTIYA,JHINTIYA,Fluoride,1/4/2010
BIHAR,KATIHAR,HASANGANJ,DHERAWA,KAJARI,KAJARI,Iron,1/4/2010
RAJASTHAN,JHUNJHUNUN,ALSISAR,KANKREU KALAN,KAKREU KHURD,KANKREU KHURD,Fluoride,1/4/2010
ORISSA,JAJAPUR,DANGADI,TRIJANGA,TRIJANGA,SOLEI,Iron,1/4/2010
RAJASTHAN,BHILWARA,MANDAL,KIDIMAL,CHANESEN,HAKLON KA BADIYA,Fluoride,1/4/2010
UTTAR PRADESH,JHANSI,BANGRA,RAJPURA,RAJPURA,RAJPURA,Fluoride,1/4/2009
RAJASTHAN,JODHPUR,MANDOR,JALALI  FAUZDARA,JAELI FAUJDARAN,GODARON KD,Salinity,1/4/2009
ASSAM,JORHAT,JORHAT,BAGHCHUNG   CHARAIBAHI,KAMALABORIA N.C.,SEUJPUR,Arsenic,1/4/2009
ASSAM,GOLAGHAT,GOLAGHAT EAST,BENGENAKHOWA,BENGENAKHOWA GRANT,TANTI CHUK,Iron,1/4/2009
RAJASTHAN,DUNGARPUR,SIMALWARA,BHEMAI,BHEMAI,NAL GHARA,Nitrate,1/4/2011
RAJASTHAN,JODHPUR,SHERGARH,SOINTARA,SOINTARA,DEWA RAM RAIKA KD,Salinity,1/4/2011
MADHYA PRADESH,DHAR,NALCHHA,TALWADA,TALWADA,NAGZIRI,Fluoride,1/4/2011
BIHAR,SAHARSA,KAHARA,MURLI BASANTPUR,TULSIYAHI,PASWAN TOLA,Iron,1/4/2009
BIHAR,BHAGALPUR,NATHNAGAR,RATTIPUR BARIYA,RATTIPUR,HARIJAN TOLA,Arsenic,1/4/2011
BIHAR,KISHANGANJ,DIGHALBANK,PATHAR GHATI,KURHAILI,DADAR TOLA SOUTH,Iron,1/4/2009
ORISSA,PURI,KANAS,SIREI,RADHAMOHANPUR,RADHAMOHANPUR,Iron,1/4/2009
RAJASTHAN,TONK,DEOLI,NAWARIYA,NIWARIYA,BALAJI KA JHONPADA,Fluoride,1/4/2009
RAJASTHAN,SAWAI MADHOPUR,BAMANWAS,KHEDLI,KHERLI,DEHRA DHANI,Salinity,1/4/2009
RAJASTHAN,BARMER,BALOTRA,CHANDESARA,CHANDESARA,DHOLA,Salinity,1/4/2011
BIHAR,BEGUSARAI,BHAGWANPUR,BHITHSARI,SURAJPURA,DOM TOLA,Iron,1/4/2010
BIHAR,SUPAUL,BASANTPUR,PARMANANDPUR,RANIPATTI,PASWAN TOLA EAST,Iron,1/4/2012
MAHARASHTRA,JALGAON,AMALNER,GADKHAMB,GADKHAMB,GADKHAMB,Nitrate,1/4/2009
ORISSA,CUTTACK,NIALI,ERANCHA,KHARIBIL,KHADIBIL,Iron,1/4/2010
ASSAM,SONITPUR,SAKOMATHA,PAVOI,RANGAMURI,NATUN BASTI,Iron,1/4/2009
ORISSA,MAYURBHANJ,BANGRIPOSI,NISCHINTA,SUNDHISAHI,SUNDHI SAHI,Iron,1/4/2009
RAJASTHAN,JODHPUR,LUNI,DOLI,BUJHAWAR,MEGHWALON KD,Salinity,1/4/2009
RAJASTHAN,KARAULI,HINDAUN,PHULWARA,DUGHATI,MANI RAM KA PURA,Fluoride,1/4/2009
BIHAR,MADHEPURA,CHAUSA,ARAJIPUR EAST/WEST,ARAJPUR,PARWALIA TOLA,Iron,1/4/2009
ASSAM,BARPETA,BAJALI,DUMURIA,DUMURIA,MUSLIMPARA,Iron,1/4/2010
WEST BENGAL,NADIA,TEHATTA-I,CHANDERGHAT,DHOPAHAT,DHAPATTA (UTTAR PARA),Iron,1/4/2012
RAJASTHAN,BARMER,BAITU,SHAHAR,CHAURALIYA,GODARO KD,Salinity,1/4/2012
RAJASTHAN,UDAIPUR,JHADOL,THOBAWARA,AMBAWI,AMBAVEE,Nitrate,1/4/2009
BIHAR,KHAGARIA,GOGARI,DEOTHA,KHAROWA,KHARAWA,Arsenic,1/4/2010
WEST BENGAL,MALDAH,HABIBPUR,AIHO,JADABNAGAR,SINGHA TALA,Iron,1/4/2010
ORISSA,BALESHWAR,BALESWAR SADAR,SINDHIA,BHIMDIA,BHIMADIHA,Salinity,1/4/2009
ORISSA,CUTTACK,NIALI,NUAGAN,MAHANGA,NUA SAHI,Iron,1/4/2012
ASSAM,KAMRUP,CHHAYGAON,CHAYGAON,BALASIDHI NO 1,BAKRAPARA,Iron,1/4/2011
RAJASTHAN,GANGANAGAR,SURATGARH,BHERU PURA,AMARPURA JATAN,AMARPURA JATAN,Fluoride,1/4/2010
TRIPURA,DHALAI  ,AMBASSA,KARANMANI PARA,BIJOYROY,KSHUDHAN,Iron,1/4/2012
BIHAR,SAHARSA,SONBARSA,KASH NAGAR,KASNAGAR,HARIJAN TOLA,Iron,1/4/2009
RAJASTHAN,JODHPUR,BAP,KELANSAR,SUTHARNADA,DAKSINI KD,Salinity,1/4/2011
TRIPURA,SOUTH TRIPURA,KARBOOK,EAST KARBOOK,RAM KR.PARA,ULA MOG PARA,Iron,1/4/2010
BIHAR,MUNGER,BARIYARPUR,RATANPUR,GOSAIN CHAK,YADEO TOLA,Iron,1/4/2011
RAJASTHAN,DAUSA,DAUSA,BANIYANA,GIRDHARPURA,GIRDHARPURA,Fluoride,1/4/2010
CHATTISGARH,DURG,BALOD,DEWARBHAT,DEWAR BHAT,GASTITOLA,Iron,1/4/2011
RAJASTHAN,BARAN,KISHANGANJ,NAHARGARH,BALAPURA,BALAPURA,Iron,1/4/2009
RAJASTHAN,BHARATPUR,NAGAR,JHAJJHAR,JHANJHAR,JHANJHAR,Salinity,1/4/2012
CHHATTISGARH,KANKER,KANKER,SIDESAR,SIDESAR,BICHPARA1,Iron,1/4/2012
ASSAM,NALBARI,BARKHETRI,104 NO NARAYANPUR MUKALMUA,MUKALMUA,UTTAR SUBA,Iron,1/4/2012
MAHARASHTRA,WARDHA,SELOO,PIMPALGAON,PIMPALGAON,PIMPALGAON,Nitrate,1/4/2010
BIHAR,SUPAUL,PRATAPGANJ,CHILAUNI UTTAR,CHITAUNI,MANDAL TOLA,Iron,1/4/2011
RAJASTHAN,JALOR,BHINMAL,DOONGARWA,DOONGARWA,DONGARWA,Fluoride,1/4/2010
BIHAR,BUXAR,BARHAMPUR,HARNATHPUR,UDHAURA,DALLUPUR,Arsenic,1/4/2010
KERALA,WAYANAD,SULTHANBETHERI,MEENANGADY,PURAKKADI,WARD - 13,Nitrate,1/4/2009
ASSAM,SONITPUR,BISHAWNATH,KUMALIA,NO.2  KUMALIA,BORKALA,Iron,1/4/2009
RAJASTHAN,BHILWARA,BHILWARA,BHOLI,MADHOPUR,NAI ABADI,Fluoride,1/4/2011
CHHATTISGARH,DHAMTARI,DHAMTARI,MONGRA GAHAN,MONGRA GAHAN,ROADPARA,Iron,1/4/2012
RAJASTHAN,BARMER,SHEO,KHARCHI,KHARCHI,KHARCHI,Salinity,1/4/2010
RAJASTHAN,CHURU,SARDARSHAHAR,BIKAMSARA,MITASAR,DHANI LALCHAND,Fluoride,1/4/2011
KARNATAKA,SHIMOGA,SAGAR,TUMARI,VALAGERE,VALAGERE,Iron,1/4/2011
ASSAM,SONITPUR,CHAIDUAR,KARIBIL,KHEMAI JARONI,KEMAIJARONI,Iron,1/4/2010
BIHAR,SAHARSA,SIMRI BAKHTIARPUR,MAHKHAR,MAHKHAR,MUKHIA TOLA,Iron,1/4/2012
MAHARASHTRA,YAVATMAL,WANI,KHANDLA,GOPALPUR (KHANDLA),GOPALPUR (KHANDLA),Fluoride,1/4/2009
ASSAM,DIBRUGARH,BARBARUA,GARUDHARIA,DIGHONI DALANI GAON,NAMGHORIA CHUCK,Iron,1/4/2010
RAJASTHAN,BARMER,SHEO,CHETRODI,CHETRORI,JODHANIYO KA PADA,Salinity,1/4/2010
ASSAM,GOLAGHAT,GOLAGHAT WEST,UTTAR-PUB KAZIRONGA,BORBHATA,NEPALI CHUK,Iron,1/4/2009
BIHAR,SAHARSA,NAUHATTA,SATTOUR,NARAINPUR,NARAYAN PUR GOATH,Iron,1/4/2011
RAJASTHAN,BARMER,DHORIMANA,BHIMATHAL,DER,TETERWALO KI DHANI,Salinity,1/4/2010
BIHAR,PATNA,ATHMALGOLA,USMANPUR,USMANPUR,AHIJAN,Arsenic,1/4/2011
KARNATAKA,CHITRADURGA,CHALLAKERE ,HIREHALLI ,HIREHALLI,HIREHALLI,Iron,1/4/2010
WEST BENGAL,PURULIA,RAGHUNATH PUR-I,KHAJURA,MADHUTATI,MADHUTATI,Fluoride,1/4/2012
CHATTISGARH,BASTAR,BADERAJPUR,KONGERA,SONPUR,PANKAPARA,Iron,1/4/2010
WEST BENGAL,JALPAIGURI,MAYNAGURI,AMGURI,BETGARA,HARIR VITA,Iron,1/4/2009
CHATTISGARH,JASHPUR,JASHPUR,PILAKHI,GIRLA,JHURGUMTOLI,Iron,1/4/2011
ORISSA,SONEPUR,DUNGURIPALI,ICHAPUR,DUMERPALI,DUMERPALI,Iron,1/4/2010
BIHAR,BEGUSARAI,BACHHWARA,CHIRANJIPUR,TEMUHAN,BIND TOLA,Iron,1/4/2011
ASSAM,DIBRUGARH,BARBARUA,BORBARUAH,CHANGMAI GOHAIN GAON,CHANGMAI BHATI CHUCK,Iron,1/4/2011
ASSAM,SIBSAGAR,NAZIRA,BANTUNG,NIMAIGORH HABI,CHETIA CHUBURI,Iron,1/4/2012
ASSAM,GOLAGHAT,GOLAGHAT SOUTH,GONDHAKOROI,SARUPATHAR NO. 2,MAJHI CHUK,Iron,1/4/2010
ORISSA,PURI,KRUSHNAPRASAD,BADANLA,BADANALA,THAKURANI SAHI,Salinity,1/4/2012
ORISSA,ANUGUL,PALALAHADA,PABITRAPUR,SIARIAMULIA,SIARIMALIA KUMBHAR SAHI,Iron,1/4/2012
RAJASTHAN,DUNGARPUR,DUNGARPUR,PADLI GUJARESHWAR,PADLI UDARAT,PADLI UDARAT,Fluoride,1/4/2009
CHHATTISGARH,DHAMTARI,NAGARI,BANDHA,MOHMALLA MAL(MUHMELA MA,MAIN HABITAT,Iron,1/4/2012
MADHYA PRADESH,DINDORI,MEHADWANI,RAGHOPUR,RAGHOPUR MAL.(RADHOPUR,RAGHOPUR  MAL  (M.V.),Fluoride,1/4/2012
CHATTISGARH,BIJAPUR,BHOPAL PATNAM,PAMGAL,METUPALLI,AWASPARA,Iron,1/4/2010
WEST BENGAL,MURSHIDABAD,JALANGI,SAGARPARA,AZIMPUR,AZAMPUR,Arsenic,1/4/2010
KARNATAKA,MANDYA,NAGAMANGALA,NELLIGERE,KARABYLU,KARABYLU,Fluoride,1/4/2009
ASSAM,GOALPARA,KHARMUJA,BAGUAN,MURALIJHAR,MURALIJHAR TARIPARA,Iron,1/4/2009
BIHAR,SUPAUL,NIRMALI,KUNAOLEE,KUNALI,MUKHIYA TOLA,Iron,1/4/2009
TRIPURA,NORTH TRIPURA,GOURNAGAR,DHANBILASH,BHAGYAPUR(132),KATHALBARI(130),Iron,1/4/2009
ASSAM,BARPETA,SARUKHETRI,DAKHIN PUB SARUKHETRI,GARAI MARI,MADHYA SUBA,Iron,1/4/2012
CHHATTISGARH,DHAMTARI,KURUD,KOKDI,KOKADI,BHATAPARA,Iron,1/4/2012
KARNATAKA,DAKSHIN KANNAD,BELTANGADI,VENOORU,MOODUKODI,NADTIKALLU,Fluoride,1/4/2012
ORISSA,KENDUJHAR,TELKOI,DEULADIHA,DEULADIHA,PATRA SAHI (B),Iron,1/4/2010
KARNATAKA,MANDYA,MADDUR,BEKKALALE,BEKKALALE,B.M.KOPPALU,Iron,1/4/2009
BIHAR,GAYA,FATEHPUR,LODHWAI SOUTH,LODHUWAI,H. TOLI,Fluoride,1/4/2009
BIHAR,BEGUSARAI,KHUDABANDPUR,DAULAT PUR,DAULATPUR,DAULATPUR,Iron,1/4/2012
