State Name,District Name,Block Name,Panchayat Name,Village Name,Habitation Name,Quality Parameter,Year
MEGHALAYA,WEST GARO HILLS,TIKRIKILLA,NAGORGAON,NAGORGAON,NAGORGAON,Iron,1/4/2010
BIHAR,MADHEPURA,SINGHESHWAR,MANPUR,KANHUAN GORIARI,KANUHAN HARIJAN TOLA,Iron,1/4/2009
ASSAM,SONITPUR,BEHALI,NIZ-BEHALI,NIZ- BEHALI,DOLONI,Iron,1/4/2010
RAJASTHAN,JODHPUR,PHALODI,PEELWA,RAWAT NAGAR,RAMSAGAR BERA,Salinity,1/4/2012
KARNATAKA,DAVANGERE,JAGALUR,HANUMANTHAPURA,KASAVANAHALLI,KASAVANAHALLI,Fluoride,1/4/2011
RAJASTHAN,JODHPUR,MANDOR,MANAKLAO,PALRI KHICHIYAN,BANGLA KD,Salinity,1/4/2010
CHHATTISGARH,BILASPUR,KOTA,RATKHANDI,RATKHANDI,RATKHANDI,Iron,1/4/2012
TRIPURA,WEST TRIPURA,HEZAMARA,SARAT CHOWDHURY PARA,SARAT CHOWDHURY PARA,RADHA KRISHNA PARA(1),Iron,1/4/2009
ORISSA,MALKANGIRI,Kalimela,Gompakonda,ERAGUNDA,MPV-72,Iron,1/4/2009
ORISSA,GAJAPATI,GUMMA,JIBA,PADMAPUR,PADMAPUR,Iron,1/4/2010
BIHAR,KHAGARIA,GOGARI,BASUDEOPUR,BASUDEOPUR,HARIJAN TOLA,Arsenic,1/4/2010
BIHAR,JAMUI,KHAIRA,JHUNDO,JHUNDO,GHATWARI,Fluoride,1/4/2009
BIHAR,BEGUSARAI,DANDARI,TETARI,MOHANPUR,KANU TOLA,Iron,1/4/2010
RAJASTHAN,JALOR,BHINMAL,KORA,KORA,LASA/SADA BHIL KD,Fluoride,1/4/2012
BIHAR,JAMUI,SONO,CHURHIT,GHOSARI,HARIJAN TOLA,Fluoride,1/4/2009
ASSAM,JORHAT,JORHAT CENTRAL,MADHYA  HULUNGAPARA,ARANDHARA GAON,LUDUR  CHUCK,Iron,1/4/2011
CHHATTISGARH,DHAMTARI,NAGARI,GADDONGRI [R],BOKRA BEDA,MAIN HABITAT,Iron,1/4/2012
ORISSA,BALESHWAR,NILAGIRI,TENTULIA,CHADABADI,CHORABADI,Iron,1/4/2009
ORISSA,ANUGUL,ANUGUL,BALUAKATA,SABALABHANGA,HARIJANA SAHI,Iron,1/4/2010
KARNATAKA,DAVANGERE,JAGALUR,ASAGODU,OBALAPURA,DHARMAPURA,Fluoride,1/4/2012
